C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_12_946.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_12_946.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_12_946.jpg, 0, 0, 0, 7.833147E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_045.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_045.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_045.jpg, 0, 0, 0, 7.819118E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_165.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_165.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_165.jpg, 0, 0, 0, 8.012645E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_285.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_285.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_285.jpg, 0, 0, 0, 8.464194E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_405.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_405.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_405.jpg, 0, 0, 0, 8.153572E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_526.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_526.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_526.jpg, 0, 0, 0, 8.06817E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_628.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_628.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_628.jpg, 0, 0, 0, 7.887062E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_748.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_748.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_748.jpg, 0, 0, 0, 7.964564E-05
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_850.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_850.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_850.jpg, 0, 0.305142, 0, 0.2087798
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_13_962.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_13_962.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_13_962.jpg, 0, 0.6304044, 0, 0.9487302
C:\Users\ritis\Downloads\simulator-windows-64\IMG\center_2024_01_11_01_51_14_070.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\left_2024_01_11_01_51_14_070.jpg, C:\Users\ritis\Downloads\simulator-windows-64\IMG\right_2024_01_11_01_51_14_070.jpg, 0, 0.9635564, 0, 1.943224
